
===== launch 2026-09-16 09:10:13: 2.0e-05 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=0: [2e-05]

Trial 6: warmup_cosine_2.0e-05_to_2.0e-07, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter      0: L=3.408e+00  L_data=1.711e+01  L_bcs=5.357e-01  L_res=7.378e+00  val_ARE=100.503% *
Iter   3000: L=1.599e-01  L_data=4.436e-01  L_bcs=1.052e-02  L_res=3.519e-01  val_ARE=8.528% *
Iter   6000: L=1.331e-01  L_data=2.386e-01  L_bcs=8.306e-03  L_res=2.932e-01  val_ARE=6.911% *
Iter   9000: L=1.176e-01  L_data=3.058e-02  L_bcs=5.488e-03  L_res=2.597e-01  val_ARE=5.705% *
Iter  12000: L=1.111e-01  L_data=6.970e-01  L_bcs=4.541e-03  L_res=2.456e-01  val_ARE=4.491% *
Iter  15000: L=1.025e-01  L_data=1.091e-01  L_bcs=4.870e-03  L_res=2.263e-01  val_ARE=3.997% *
Iter  18000: L=9.880e-02  L_data=2.999e-02  L_bcs=3.353e-03  L_res=2.187e-01  val_ARE=3.645% *
Iter  21000: L=9.549e-02  L_data=1.065e-01  L_bcs=2.540e-03  L_res=2.116e-01  val_ARE=3.439% *
Iter  24000: L=9.151e-02  L_data=8.155e-02  L_bcs=3.839e-03  L_res=2.023e-01  val_ARE=3.395% *
Iter  27000: L=9.099e-02  L_data=7.800e-02  L_bcs=3.120e-03  L_res=2.014e-01  val_ARE=3.251% *
Iter  30000: L=9.329e-02  L_data=6.131e-02  L_bcs=3.646e-03  L_res=2.063e-01  val_ARE=3.272%
Iter  33000: L=8.811e-02  L_data=1.026e-02  L_bcs=1.854e-03  L_res=1.955e-01  val_ARE=3.096% *
Iter  36000: L=8.953e-02  L_data=1.401e-01  L_bcs=1.233e-03  L_res=1.989e-01  val_ARE=2.999% *
Iter  39000: L=9.022e-02  L_data=1.260e-01  L_bcs=2.014e-03  L_res=2.001e-01  val_ARE=2.898% *
Iter  42000: L=9.059e-02  L_data=2.954e-03  L_bcs=8.501e-03  L_res=1.984e-01  val_ARE=2.839% *
Iter  45000: L=8.625e-02  L_data=3.477e-02  L_bcs=4.589e-04  L_res=1.919e-01  val_ARE=2.750% *
Iter  48000: L=8.406e-02  L_data=1.401e-02  L_bcs=1.306e-03  L_res=1.867e-01  val_ARE=2.725% *
Iter  51000: L=8.590e-02  L_data=7.748e-03  L_bcs=2.108e-03  L_res=1.905e-01  val_ARE=2.632% *
Iter  54000: L=8.500e-02  L_data=9.300e-03  L_bcs=3.662e-03  L_res=1.878e-01  val_ARE=2.585% *
Iter  57000: L=8.345e-02  L_data=3.417e-02  L_bcs=5.852e-04  L_res=1.856e-01  val_ARE=2.589%
Iter  60000: L=8.255e-02  L_data=1.503e-02  L_bcs=1.307e-03  L_res=1.833e-01  val_ARE=2.580% *
Iter  63000: L=8.333e-02  L_data=2.885e-02  L_bcs=1.437e-03  L_res=1.850e-01  val_ARE=2.524% *
Iter  66000: L=8.076e-02  L_data=2.741e-03  L_bcs=3.144e-04  L_res=1.797e-01  val_ARE=2.503% *
Iter  69000: L=8.006e-02  L_data=2.153e-02  L_bcs=3.844e-04  L_res=1.781e-01  val_ARE=2.536%
Iter  72000: L=8.128e-02  L_data=1.012e-01  L_bcs=8.583e-04  L_res=1.806e-01  val_ARE=2.507%
Iter  75000: L=8.033e-02  L_data=9.840e-03  L_bcs=4.119e-04  L_res=1.787e-01  val_ARE=2.462% *
Iter  78000: L=8.045e-02  L_data=1.096e-01  L_bcs=4.281e-04  L_res=1.790e-01  val_ARE=2.422% *
Iter  81000: L=8.104e-02  L_data=2.277e-02  L_bcs=2.602e-04  L_res=1.804e-01  val_ARE=2.404% *
Iter  84000: L=7.948e-02  L_data=6.307e-02  L_bcs=6.149e-04  L_res=1.767e-01  val_ARE=2.399% *
Iter  87000: L=7.820e-02  L_data=1.347e-02  L_bcs=5.238e-04  L_res=1.739e-01  val_ARE=2.431%
Iter  90000: L=7.762e-02  L_data=9.843e-02  L_bcs=2.154e-04  L_res=1.727e-01  val_ARE=2.372% *
Iter  93000: L=7.893e-02  L_data=2.174e-02  L_bcs=2.222e-04  L_res=1.757e-01  val_ARE=2.318% *
Iter  96000: L=7.818e-02  L_data=4.562e-02  L_bcs=7.592e-04  L_res=1.738e-01  val_ARE=2.312% *
Iter  99000: L=7.513e-02  L_data=5.650e-02  L_bcs=8.501e-04  L_res=1.670e-01  val_ARE=2.303% *
Iter 102000: L=7.485e-02  L_data=3.375e-02  L_bcs=2.826e-04  L_res=1.666e-01  val_ARE=2.266% *
Iter 105000: L=7.664e-02  L_data=5.786e-03  L_bcs=7.747e-04  L_res=1.703e-01  val_ARE=2.319%
Iter 108000: L=7.954e-02  L_data=6.469e-03  L_bcs=3.547e-04  L_res=1.770e-01  val_ARE=2.238% *
Iter 111000: L=7.723e-02  L_data=4.138e-03  L_bcs=5.341e-04  L_res=1.718e-01  val_ARE=2.226% *
Iter 114000: L=7.611e-02  L_data=3.452e-02  L_bcs=9.408e-04  L_res=1.691e-01  val_ARE=2.215% *
Iter 117000: L=7.692e-02  L_data=3.421e-02  L_bcs=3.119e-04  L_res=1.712e-01  val_ARE=2.219%
Iter 120000: L=7.389e-02  L_data=4.189e-02  L_bcs=2.447e-04  L_res=1.644e-01  val_ARE=2.211% *
Iter 123000: L=7.545e-02  L_data=1.553e-02  L_bcs=8.874e-04  L_res=1.677e-01  val_ARE=2.163% *
Iter 126000: L=7.673e-02  L_data=8.973e-02  L_bcs=4.045e-04  L_res=1.707e-01  val_ARE=2.150% *
Iter 129000: L=7.526e-02  L_data=9.754e-03  L_bcs=7.715e-04  L_res=1.673e-01  val_ARE=2.148% *
Iter 132000: L=7.518e-02  L_data=9.595e-03  L_bcs=2.333e-04  L_res=1.673e-01  val_ARE=2.140% *
Iter 135000: L=7.240e-02  L_data=1.017e-02  L_bcs=2.536e-04  L_res=1.611e-01  val_ARE=2.089% *
Iter 138000: L=7.568e-02  L_data=1.344e-02  L_bcs=1.864e-04  L_res=1.684e-01  val_ARE=2.101%
Iter 141000: L=7.309e-02  L_data=1.273e-02  L_bcs=2.804e-04  L_res=1.626e-01  val_ARE=2.079% *
Iter 144000: L=7.322e-02  L_data=8.824e-02  L_bcs=1.322e-03  L_res=1.625e-01  val_ARE=2.062% *
Iter 147000: L=7.292e-02  L_data=7.436e-02  L_bcs=2.296e-04  L_res=1.623e-01  val_ARE=2.038% *
Iter 150000: L=7.265e-02  L_data=1.540e-02  L_bcs=2.112e-04  L_res=1.617e-01  val_ARE=2.015% *
Iter 153000: L=7.378e-02  L_data=1.215e-01  L_bcs=4.934e-04  L_res=1.641e-01  val_ARE=2.017%
Iter 156000: L=7.377e-02  L_data=2.739e-02  L_bcs=3.345e-04  L_res=1.641e-01  val_ARE=1.983% *
Iter 159000: L=7.308e-02  L_data=4.493e-02  L_bcs=2.655e-04  L_res=1.626e-01  val_ARE=1.980% *
Iter 162000: L=6.974e-02  L_data=2.123e-02  L_bcs=3.489e-04  L_res=1.552e-01  val_ARE=1.963% *
Iter 165000: L=7.207e-02  L_data=4.664e-02  L_bcs=2.251e-04  L_res=1.604e-01  val_ARE=1.946% *
Iter 168000: L=7.192e-02  L_data=2.558e-02  L_bcs=2.290e-04  L_res=1.601e-01  val_ARE=1.942% *
Iter 171000: L=7.292e-02  L_data=1.960e-02  L_bcs=4.522e-04  L_res=1.622e-01  val_ARE=1.978%
Iter 174000: L=7.315e-02  L_data=4.134e-03  L_bcs=2.069e-04  L_res=1.628e-01  val_ARE=1.933% *
Iter 177000: L=7.085e-02  L_data=3.564e-02  L_bcs=2.278e-04  L_res=1.577e-01  val_ARE=1.918% *
Iter 180000: L=7.319e-02  L_data=4.182e-02  L_bcs=2.697e-04  L_res=1.629e-01  val_ARE=1.897% *
Iter 183000: L=6.864e-02  L_data=1.171e-02  L_bcs=3.552e-04  L_res=1.527e-01  val_ARE=1.942%
Iter 186000: L=6.992e-02  L_data=1.696e-01  L_bcs=3.217e-04  L_res=1.556e-01  val_ARE=1.900%
Iter 189000: L=6.942e-02  L_data=6.715e-02  L_bcs=1.854e-04  L_res=1.545e-01  val_ARE=1.880% *
Iter 192000: L=6.888e-02  L_data=4.921e-02  L_bcs=1.309e-04  L_res=1.533e-01  val_ARE=1.872% *
Iter 195000: L=6.975e-02  L_data=1.135e-03  L_bcs=1.576e-04  L_res=1.553e-01  val_ARE=1.879%
Iter 198000: L=7.036e-02  L_data=7.413e-02  L_bcs=1.712e-04  L_res=1.566e-01  val_ARE=1.864% *
Iter 201000: L=7.139e-02  L_data=4.242e-02  L_bcs=4.379e-04  L_res=1.588e-01  val_ARE=1.865%
Iter 204000: L=7.156e-02  L_data=7.084e-02  L_bcs=1.803e-04  L_res=1.593e-01  val_ARE=1.874%
Iter 207000: L=6.929e-02  L_data=6.099e-02  L_bcs=1.308e-04  L_res=1.542e-01  val_ARE=1.852% *
Iter 210000: L=7.178e-02  L_data=2.431e-01  L_bcs=1.865e-04  L_res=1.598e-01  val_ARE=1.857%
Iter 213000: L=6.911e-02  L_data=3.586e-02  L_bcs=1.393e-04  L_res=1.538e-01  val_ARE=1.860%
Iter 216000: L=6.970e-02  L_data=4.381e-02  L_bcs=1.061e-04  L_res=1.551e-01  val_ARE=1.860%
Iter 219000: L=7.053e-02  L_data=1.115e-01  L_bcs=1.855e-04  L_res=1.570e-01  val_ARE=1.877%
