
===== launch 2026-09-16 09:10:13: 8.0e-05 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=2: [8e-05]

Trial 0: warmup_cosine_8.0e-05_to_8.0e-07, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter      0: L=3.408e+00  L_data=1.711e+01  L_bcs=5.357e-01  L_res=7.378e+00  val_ARE=100.503% *
Iter   3000: L=1.312e-01  L_data=5.198e-01  L_bcs=1.135e-02  L_res=2.878e-01  val_ARE=6.633% *
Iter   6000: L=1.042e-01  L_data=3.103e-02  L_bcs=5.117e-02  L_res=2.119e-01  val_ARE=3.827% *
Iter   9000: L=8.828e-02  L_data=1.166e-01  L_bcs=1.070e-03  L_res=1.962e-01  val_ARE=3.195% *
Iter  12000: L=8.768e-02  L_data=1.505e-01  L_bcs=4.570e-03  L_res=1.934e-01  val_ARE=2.900% *
Iter  15000: L=8.443e-02  L_data=9.661e-02  L_bcs=1.512e-03  L_res=1.874e-01  val_ARE=2.849% *
Iter  18000: L=8.175e-02  L_data=1.620e-02  L_bcs=1.237e-03  L_res=1.816e-01  val_ARE=2.731% *
Iter  21000: L=7.909e-02  L_data=1.446e-01  L_bcs=3.275e-03  L_res=1.748e-01  val_ARE=2.550% *
Iter  24000: L=7.834e-02  L_data=1.900e-02  L_bcs=1.712e-02  L_res=1.677e-01  val_ARE=2.484% *
Iter  27000: L=7.206e-02  L_data=2.886e-02  L_bcs=2.337e-03  L_res=1.595e-01  val_ARE=2.250% *
Iter  30000: L=7.316e-02  L_data=1.412e-01  L_bcs=7.365e-04  L_res=1.626e-01  val_ARE=2.298%
Iter  33000: L=6.804e-02  L_data=5.023e-03  L_bcs=1.883e-03  L_res=1.508e-01  val_ARE=2.150% *
Iter  36000: L=7.109e-02  L_data=8.654e-02  L_bcs=9.390e-03  L_res=1.546e-01  val_ARE=2.184%
Iter  39000: L=6.756e-02  L_data=5.924e-02  L_bcs=1.028e-02  L_res=1.464e-01  val_ARE=2.129% *
Iter  42000: L=6.705e-02  L_data=6.236e-03  L_bcs=4.341e-03  L_res=1.476e-01  val_ARE=2.068% *
Iter  45000: L=6.360e-02  L_data=2.672e-02  L_bcs=1.256e-03  L_res=1.411e-01  val_ARE=2.129%
Iter  48000: L=6.284e-02  L_data=1.459e-02  L_bcs=1.995e-03  L_res=1.391e-01  val_ARE=2.045% *
Iter  51000: L=6.250e-02  L_data=2.764e-03  L_bcs=1.972e-03  L_res=1.384e-01  val_ARE=2.125%
Iter  54000: L=6.133e-02  L_data=4.306e-03  L_bcs=3.303e-03  L_res=1.353e-01  val_ARE=2.044% *
Iter  57000: L=5.941e-02  L_data=1.664e-02  L_bcs=4.150e-03  L_res=1.307e-01  val_ARE=1.924% *
Iter  60000: L=5.925e-02  L_data=1.668e-02  L_bcs=1.009e-02  L_res=1.280e-01  val_ARE=2.010%
Iter  63000: L=5.832e-02  L_data=2.183e-02  L_bcs=1.044e-02  L_res=1.258e-01  val_ARE=2.011%
Iter  66000: L=5.415e-02  L_data=3.915e-03  L_bcs=1.305e-03  L_res=1.201e-01  val_ARE=2.002%
Iter  69000: L=5.128e-02  L_data=1.557e-02  L_bcs=4.496e-04  L_res=1.140e-01  val_ARE=2.177%
Iter  72000: L=4.930e-02  L_data=1.496e-02  L_bcs=5.727e-04  L_res=1.095e-01  val_ARE=1.960%
Iter  75000: L=5.269e-02  L_data=5.030e-03  L_bcs=9.560e-04  L_res=1.169e-01  val_ARE=2.126%
Iter  78000: L=5.305e-02  L_data=9.153e-03  L_bcs=6.779e-03  L_res=1.155e-01  val_ARE=2.021%
Iter  81000: L=5.027e-02  L_data=2.587e-02  L_bcs=4.252e-03  L_res=1.103e-01  val_ARE=2.056%
Iter  84000: L=4.715e-02  L_data=1.962e-02  L_bcs=3.155e-04  L_res=1.049e-01  val_ARE=1.857% *
Iter  87000: L=4.527e-02  L_data=3.194e-02  L_bcs=4.301e-04  L_res=1.006e-01  val_ARE=2.201%
Iter  90000: L=4.428e-02  L_data=3.169e-03  L_bcs=1.308e-03  L_res=9.809e-02  val_ARE=1.898%
Iter  93000: L=4.545e-02  L_data=6.285e-03  L_bcs=7.211e-04  L_res=1.009e-01  val_ARE=1.801% *
Iter  96000: L=4.503e-02  L_data=1.044e-02  L_bcs=2.664e-03  L_res=9.923e-02  val_ARE=1.913%
Iter  99000: L=3.941e-02  L_data=7.580e-02  L_bcs=3.373e-04  L_res=8.762e-02  val_ARE=2.018%
Iter 102000: L=3.969e-02  L_data=9.799e-03  L_bcs=3.203e-03  L_res=8.713e-02  val_ARE=1.977%
Iter 105000: L=3.872e-02  L_data=6.554e-03  L_bcs=7.828e-04  L_res=8.592e-02  val_ARE=2.047%
Iter 108000: L=3.842e-02  L_data=4.730e-03  L_bcs=9.998e-04  L_res=8.515e-02  val_ARE=1.857%
Iter 111000: L=3.713e-02  L_data=3.661e-03  L_bcs=3.762e-03  L_res=8.120e-02  val_ARE=1.728% *
Iter 114000: L=3.686e-02  L_data=4.498e-03  L_bcs=5.106e-03  L_res=8.008e-02  val_ARE=1.858%
Iter 117000: L=3.513e-02  L_data=2.680e-02  L_bcs=5.145e-04  L_res=7.801e-02  val_ARE=1.834%
Iter 120000: L=3.371e-02  L_data=1.245e-02  L_bcs=4.885e-04  L_res=7.488e-02  val_ARE=1.939%
Iter 123000: L=3.351e-02  L_data=9.619e-03  L_bcs=4.308e-04  L_res=7.444e-02  val_ARE=1.716% *
Iter 126000: L=3.314e-02  L_data=1.389e-02  L_bcs=1.876e-03  L_res=7.306e-02  val_ARE=1.688% *
Iter 129000: L=3.193e-02  L_data=2.963e-03  L_bcs=4.346e-04  L_res=7.092e-02  val_ARE=1.683% *
Iter 132000: L=3.199e-02  L_data=4.356e-03  L_bcs=3.307e-04  L_res=7.111e-02  val_ARE=1.710%
Iter 135000: L=2.992e-02  L_data=8.485e-03  L_bcs=4.657e-04  L_res=6.643e-02  val_ARE=1.578% *
Iter 138000: L=3.044e-02  L_data=6.845e-03  L_bcs=3.638e-04  L_res=6.763e-02  val_ARE=1.588%
Iter 141000: L=2.905e-02  L_data=7.036e-03  L_bcs=1.432e-03  L_res=6.413e-02  val_ARE=1.698%
Iter 144000: L=2.808e-02  L_data=1.943e-02  L_bcs=7.454e-04  L_res=6.224e-02  val_ARE=1.608%
Iter 147000: L=2.866e-02  L_data=1.310e-02  L_bcs=8.084e-04  L_res=6.350e-02  val_ARE=1.572% *
Iter 150000: L=3.021e-02  L_data=5.931e-03  L_bcs=6.513e-03  L_res=6.470e-02  val_ARE=1.603%
Iter 153000: L=2.972e-02  L_data=2.635e-02  L_bcs=6.085e-03  L_res=6.378e-02  val_ARE=1.574%
Iter 156000: L=2.864e-02  L_data=1.150e-02  L_bcs=4.171e-04  L_res=6.362e-02  val_ARE=1.587%
Iter 159000: L=2.679e-02  L_data=3.455e-03  L_bcs=3.392e-04  L_res=5.952e-02  val_ARE=1.523% *
Iter 162000: L=2.705e-02  L_data=1.954e-03  L_bcs=2.589e-04  L_res=6.014e-02  val_ARE=1.523% *
Iter 165000: L=2.658e-02  L_data=3.013e-03  L_bcs=2.635e-04  L_res=5.907e-02  val_ARE=1.534%
Iter 168000: L=2.652e-02  L_data=1.523e-03  L_bcs=2.875e-04  L_res=5.895e-02  val_ARE=1.552%
Iter 171000: L=2.544e-02  L_data=9.325e-04  L_bcs=2.035e-04  L_res=5.657e-02  val_ARE=1.589%
Iter 174000: L=2.625e-02  L_data=1.447e-02  L_bcs=6.515e-04  L_res=5.820e-02  val_ARE=1.703%
Iter 177000: L=2.632e-02  L_data=2.583e-03  L_bcs=2.131e-04  L_res=5.853e-02  val_ARE=1.530%
Iter 180000: L=2.610e-02  L_data=1.413e-02  L_bcs=1.519e-04  L_res=5.806e-02  val_ARE=1.487% *
Iter 183000: L=2.507e-02  L_data=1.150e-02  L_bcs=2.995e-04  L_res=5.571e-02  val_ARE=1.473% *
Iter 186000: L=2.496e-02  L_data=2.407e-02  L_bcs=6.135e-04  L_res=5.533e-02  val_ARE=1.438% *
Iter 189000: L=2.547e-02  L_data=1.009e-02  L_bcs=2.236e-04  L_res=5.664e-02  val_ARE=1.485%
Iter 192000: L=2.417e-02  L_data=1.793e-03  L_bcs=9.425e-04  L_res=5.345e-02  val_ARE=1.570%
Iter 195000: L=2.486e-02  L_data=4.717e-03  L_bcs=2.690e-04  L_res=5.524e-02  val_ARE=1.492%
Iter 198000: L=2.414e-02  L_data=1.478e-03  L_bcs=1.683e-04  L_res=5.368e-02  val_ARE=1.484%
Iter 201000: L=2.432e-02  L_data=7.603e-03  L_bcs=4.334e-04  L_res=5.398e-02  val_ARE=1.430% *
Iter 204000: L=2.421e-02  L_data=3.566e-02  L_bcs=2.324e-04  L_res=5.382e-02  val_ARE=1.474%
Iter 207000: L=2.354e-02  L_data=1.089e-02  L_bcs=2.601e-04  L_res=5.231e-02  val_ARE=1.446%
Iter 210000: L=2.469e-02  L_data=1.123e-02  L_bcs=1.699e-04  L_res=5.491e-02  val_ARE=1.454%
Iter 213000: L=2.412e-02  L_data=7.746e-04  L_bcs=1.205e-04  L_res=5.366e-02  val_ARE=1.399% *
Iter 216000: L=2.448e-02  L_data=1.482e-02  L_bcs=3.984e-04  L_res=5.435e-02  val_ARE=1.466%
Iter 219000: L=2.303e-02  L_data=6.629e-03  L_bcs=7.487e-05  L_res=5.125e-02  val_ARE=1.375% *
