
===== launch 2026-09-16 09:10:13: 2.0e-04 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=4: [0.0002]

Trial 5: warmup_cosine_2.0e-04_to_2.0e-06, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter      0: L=3.408e+00  L_data=1.711e+01  L_bcs=5.357e-01  L_res=7.378e+00  val_ARE=100.503% *
Iter   3000: L=1.072e-01  L_data=3.568e-01  L_bcs=3.955e-02  L_res=2.233e-01  val_ARE=3.934% *
Iter   6000: L=8.794e-02  L_data=7.330e-03  L_bcs=1.205e-02  L_res=1.911e-01  val_ARE=3.078% *
Iter   9000: L=8.324e-02  L_data=8.577e-02  L_bcs=5.804e-03  L_res=1.831e-01  val_ARE=3.495%
Iter  12000: L=8.164e-02  L_data=7.355e-02  L_bcs=3.533e-03  L_res=1.804e-01  val_ARE=3.633%
Iter  15000: L=7.586e-02  L_data=9.935e-03  L_bcs=3.497e-03  L_res=1.675e-01  val_ARE=3.000% *
Iter  18000: L=7.266e-02  L_data=8.942e-02  L_bcs=2.274e-02  L_res=1.529e-01  val_ARE=3.269%
Iter  21000: L=6.874e-02  L_data=1.160e-01  L_bcs=9.127e-03  L_res=1.495e-01  val_ARE=3.911%
Iter  24000: L=5.759e-02  L_data=1.203e-02  L_bcs=1.151e-03  L_res=1.278e-01  val_ARE=3.550%
Iter  27000: L=7.112e-02  L_data=2.171e-02  L_bcs=7.347e-02  L_res=1.295e-01  val_ARE=3.932%
Iter  30000: L=5.492e-02  L_data=4.357e-02  L_bcs=1.318e-03  L_res=1.218e-01  val_ARE=3.884%
Iter  33000: L=4.875e-02  L_data=1.466e-02  L_bcs=1.470e-03  L_res=1.080e-01  val_ARE=3.964%
Iter  36000: L=5.217e-02  L_data=6.187e-02  L_bcs=1.822e-02  L_res=1.090e-01  val_ARE=4.369%
Iter  39000: L=5.162e-02  L_data=1.405e-02  L_bcs=7.197e-03  L_res=1.121e-01  val_ARE=4.533%
Iter  42000: L=4.166e-02  L_data=1.180e-03  L_bcs=3.949e-04  L_res=9.262e-02  val_ARE=4.123%
Iter  45000: L=3.589e-02  L_data=2.616e-02  L_bcs=3.820e-03  L_res=7.842e-02  val_ARE=4.107%
Iter  48000: L=3.430e-02  L_data=6.440e-03  L_bcs=1.709e-03  L_res=7.571e-02  val_ARE=3.744%
Iter  51000: L=3.196e-02  L_data=2.203e-03  L_bcs=1.422e-03  L_res=7.060e-02  val_ARE=3.518%
Iter  54000: L=3.018e-02  L_data=6.226e-03  L_bcs=3.964e-03  L_res=6.564e-02  val_ARE=3.434%
Iter  57000: L=2.713e-02  L_data=3.967e-03  L_bcs=1.234e-03  L_res=5.993e-02  val_ARE=3.373%
Iter  60000: L=2.457e-02  L_data=7.236e-03  L_bcs=8.123e-04  L_res=5.440e-02  val_ARE=3.312%
Iter  63000: L=2.384e-02  L_data=1.295e-02  L_bcs=5.771e-03  L_res=5.082e-02  val_ARE=3.100%
Iter  66000: L=2.020e-02  L_data=1.521e-03  L_bcs=1.073e-03  L_res=4.456e-02  val_ARE=3.060%
Iter  69000: L=2.053e-02  L_data=1.458e-02  L_bcs=6.958e-03  L_res=4.298e-02  val_ARE=3.054%
Iter  72000: L=1.823e-02  L_data=4.113e-03  L_bcs=8.166e-04  L_res=4.027e-02  val_ARE=2.917% *
Iter  75000: L=1.707e-02  L_data=3.833e-03  L_bcs=1.788e-03  L_res=3.730e-02  val_ARE=2.608% *
Iter  78000: L=1.675e-02  L_data=1.369e-03  L_bcs=2.306e-03  L_res=3.639e-02  val_ARE=2.516% *
Iter  81000: L=1.502e-02  L_data=1.469e-02  L_bcs=3.012e-03  L_res=3.227e-02  val_ARE=2.532%
Iter  84000: L=1.380e-02  L_data=4.505e-03  L_bcs=7.655e-04  L_res=3.044e-02  val_ARE=2.271% *
Iter  87000: L=1.332e-02  L_data=1.278e-03  L_bcs=2.459e-03  L_res=2.869e-02  val_ARE=2.237% *
Iter  90000: L=1.225e-02  L_data=3.900e-03  L_bcs=3.347e-04  L_res=2.714e-02  val_ARE=2.032% *
Iter  93000: L=1.164e-02  L_data=4.962e-03  L_bcs=8.566e-04  L_res=2.557e-02  val_ARE=1.945% *
Iter  96000: L=1.087e-02  L_data=1.564e-02  L_bcs=2.866e-04  L_res=2.410e-02  val_ARE=2.002%
Iter  99000: L=1.061e-02  L_data=8.566e-03  L_bcs=6.751e-04  L_res=2.337e-02  val_ARE=1.905% *
Iter 102000: L=1.028e-02  L_data=3.587e-03  L_bcs=3.641e-04  L_res=2.275e-02  val_ARE=1.919%
Iter 105000: L=1.030e-02  L_data=4.323e-03  L_bcs=1.928e-03  L_res=2.217e-02  val_ARE=1.692% *
Iter 108000: L=9.410e-03  L_data=7.140e-03  L_bcs=2.020e-03  L_res=2.016e-02  val_ARE=1.758%
Iter 111000: L=8.899e-03  L_data=2.112e-03  L_bcs=5.218e-04  L_res=1.961e-02  val_ARE=1.605% *
Iter 114000: L=9.450e-03  L_data=4.434e-03  L_bcs=3.922e-03  L_res=1.950e-02  val_ARE=1.593% *
Iter 117000: L=8.501e-03  L_data=1.952e-03  L_bcs=2.529e-04  L_res=1.883e-02  val_ARE=1.562% *
Iter 120000: L=8.130e-03  L_data=8.597e-03  L_bcs=3.210e-04  L_res=1.798e-02  val_ARE=1.745%
Iter 123000: L=8.011e-03  L_data=9.052e-04  L_bcs=5.782e-04  L_res=1.761e-02  val_ARE=1.636%
Iter 126000: L=8.706e-03  L_data=1.815e-03  L_bcs=4.354e-03  L_res=1.768e-02  val_ARE=1.671%
Iter 129000: L=7.590e-03  L_data=8.429e-04  L_bcs=7.225e-04  L_res=1.662e-02  val_ARE=1.422% *
Iter 132000: L=6.891e-03  L_data=7.468e-04  L_bcs=5.314e-04  L_res=1.513e-02  val_ARE=1.387% *
Iter 135000: L=9.964e-03  L_data=5.632e-03  L_bcs=8.597e-03  L_res=1.881e-02  val_ARE=1.577%
Iter 138000: L=6.909e-03  L_data=3.081e-03  L_bcs=2.685e-04  L_res=1.528e-02  val_ARE=1.439%
Iter 141000: L=6.516e-03  L_data=3.355e-03  L_bcs=8.447e-04  L_res=1.418e-02  val_ARE=1.509%
Iter 144000: L=7.870e-03  L_data=3.305e-03  L_bcs=6.200e-03  L_res=1.509e-02  val_ARE=1.454%
Iter 147000: L=6.289e-03  L_data=1.502e-03  L_bcs=4.250e-04  L_res=1.384e-02  val_ARE=1.469%
Iter 150000: L=6.406e-03  L_data=4.242e-03  L_bcs=1.011e-03  L_res=1.387e-02  val_ARE=1.244% *
Iter 153000: L=6.070e-03  L_data=2.964e-03  L_bcs=1.261e-04  L_res=1.347e-02  val_ARE=1.345%
Iter 156000: L=5.863e-03  L_data=3.412e-03  L_bcs=1.474e-04  L_res=1.300e-02  val_ARE=1.208% *
Iter 159000: L=5.750e-03  L_data=2.391e-03  L_bcs=1.377e-04  L_res=1.275e-02  val_ARE=1.210%
Iter 162000: L=5.945e-03  L_data=1.569e-03  L_bcs=6.953e-04  L_res=1.296e-02  val_ARE=1.217%
Iter 165000: L=5.446e-03  L_data=4.927e-04  L_bcs=1.737e-04  L_res=1.206e-02  val_ARE=1.203% *
Iter 168000: L=5.681e-03  L_data=1.957e-03  L_bcs=9.930e-05  L_res=1.261e-02  val_ARE=1.219%
Iter 171000: L=5.313e-03  L_data=1.619e-03  L_bcs=3.869e-04  L_res=1.168e-02  val_ARE=1.212%
Iter 174000: L=5.293e-03  L_data=4.353e-03  L_bcs=8.672e-04  L_res=1.145e-02  val_ARE=1.204%
Iter 177000: L=5.269e-03  L_data=8.613e-04  L_bcs=5.290e-04  L_res=1.152e-02  val_ARE=1.224%
Iter 180000: L=5.184e-03  L_data=3.109e-03  L_bcs=4.605e-04  L_res=1.136e-02  val_ARE=1.359%
Iter 183000: L=5.018e-03  L_data=2.864e-04  L_bcs=5.864e-04  L_res=1.094e-02  val_ARE=1.190% *
Iter 186000: L=4.869e-03  L_data=1.170e-03  L_bcs=4.784e-04  L_res=1.065e-02  val_ARE=1.212%
Iter 189000: L=5.144e-03  L_data=1.103e-03  L_bcs=7.435e-04  L_res=1.116e-02  val_ARE=1.154% *
Iter 192000: L=4.949e-03  L_data=6.194e-04  L_bcs=5.228e-04  L_res=1.082e-02  val_ARE=1.197%
Iter 195000: L=4.836e-03  L_data=1.406e-03  L_bcs=3.141e-04  L_res=1.065e-02  val_ARE=1.133% *
Iter 198000: L=4.865e-03  L_data=9.957e-04  L_bcs=2.199e-04  L_res=1.075e-02  val_ARE=1.166%
Iter 201000: L=4.914e-03  L_data=8.318e-04  L_bcs=9.561e-05  L_res=1.091e-02  val_ARE=1.139%
Iter 204000: L=4.521e-03  L_data=1.093e-02  L_bcs=7.349e-05  L_res=1.004e-02  val_ARE=1.110% *
Iter 207000: L=4.899e-03  L_data=3.161e-03  L_bcs=5.386e-04  L_res=1.070e-02  val_ARE=1.171%
Iter 210000: L=4.375e-03  L_data=1.677e-03  L_bcs=6.674e-05  L_res=9.716e-03  val_ARE=1.153%
Iter 213000: L=4.584e-03  L_data=2.153e-03  L_bcs=6.838e-05  L_res=1.018e-02  val_ARE=1.125%
Iter 216000: L=4.665e-03  L_data=3.230e-03  L_bcs=1.222e-04  L_res=1.034e-02  val_ARE=1.139%
Iter 219000: L=4.491e-03  L_data=3.992e-04  L_bcs=2.030e-04  L_res=9.922e-03  val_ARE=1.149%
