
===== launch 2026-09-16 09:10:13: 4.0e-04 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=5: [0.0004]

Trial 3: warmup_cosine_4.0e-04_to_4.0e-06, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter      0: L=3.408e+00  L_data=1.711e+01  L_bcs=5.357e-01  L_res=7.378e+00  val_ARE=100.503% *
Iter   3000: L=9.522e-02  L_data=2.793e-01  L_bcs=5.815e-03  L_res=2.097e-01  val_ARE=3.744% *
Iter   6000: L=9.221e-02  L_data=1.047e-02  L_bcs=1.275e-02  L_res=2.003e-01  val_ARE=4.464%
Iter   9000: L=7.932e-02  L_data=9.428e-02  L_bcs=2.647e-03  L_res=1.756e-01  val_ARE=6.621%
Iter  12000: L=1.137e-01  L_data=4.695e-02  L_bcs=1.874e-01  L_res=1.797e-01  val_ARE=9.360%
Iter  15000: L=7.820e-02  L_data=4.711e-02  L_bcs=2.433e-02  L_res=1.646e-01  val_ARE=10.267%
Iter  18000: L=5.942e-02  L_data=3.716e-02  L_bcs=9.116e-04  L_res=1.320e-01  val_ARE=11.957%
Iter  21000: L=5.054e-02  L_data=3.203e-02  L_bcs=7.432e-04  L_res=1.123e-01  val_ARE=12.732%
Iter  24000: L=4.488e-02  L_data=1.005e-02  L_bcs=1.210e-02  L_res=9.520e-02  val_ARE=13.350%
Iter  27000: L=3.363e-02  L_data=1.053e-02  L_bcs=7.886e-04  L_res=7.456e-02  val_ARE=13.926%
Iter  30000: L=3.358e-02  L_data=2.733e-02  L_bcs=2.073e-03  L_res=7.397e-02  val_ARE=14.349%
Iter  33000: L=2.695e-02  L_data=6.427e-03  L_bcs=1.700e-03  L_res=5.935e-02  val_ARE=14.192%
Iter  36000: L=3.871e-02  L_data=1.623e-02  L_bcs=1.452e-02  L_res=8.049e-02  val_ARE=14.560%
Iter  39000: L=2.768e-02  L_data=6.846e-03  L_bcs=4.228e-03  L_res=5.997e-02  val_ARE=15.307%
Iter  42000: L=1.788e-02  L_data=2.025e-03  L_bcs=3.117e-03  L_res=3.860e-02  val_ARE=14.842%
Iter  45000: L=1.484e-02  L_data=2.460e-02  L_bcs=8.328e-04  L_res=3.272e-02  val_ARE=14.833%
Iter  48000: L=1.418e-02  L_data=6.904e-03  L_bcs=5.950e-04  L_res=3.133e-02  val_ARE=14.936%
Iter  51000: L=1.285e-02  L_data=3.966e-03  L_bcs=5.071e-04  L_res=2.841e-02  val_ARE=14.941%
Iter  54000: L=1.263e-02  L_data=1.257e-03  L_bcs=4.432e-04  L_res=2.795e-02  val_ARE=15.212%
Iter  57000: L=1.168e-02  L_data=2.267e-03  L_bcs=3.347e-03  L_res=2.469e-02  val_ARE=14.944%
Iter  60000: L=1.250e-02  L_data=3.183e-03  L_bcs=7.785e-03  L_res=2.478e-02  val_ARE=15.023%
Iter  63000: L=4.896e-02  L_data=5.617e-02  L_bcs=6.733e-02  L_res=8.261e-02  val_ARE=16.290%
Iter  66000: L=9.044e-03  L_data=1.423e-03  L_bcs=1.579e-03  L_res=1.952e-02  val_ARE=14.958%
Iter  69000: L=8.388e-03  L_data=3.239e-03  L_bcs=1.636e-03  L_res=1.804e-02  val_ARE=15.450%
Iter  72000: L=8.179e-03  L_data=2.167e-03  L_bcs=6.124e-04  L_res=1.797e-02  val_ARE=15.257%
Iter  75000: L=8.144e-03  L_data=6.380e-03  L_bcs=2.479e-03  L_res=1.716e-02  val_ARE=15.654%
Iter  78000: L=7.390e-03  L_data=1.278e-03  L_bcs=1.203e-03  L_res=1.598e-02  val_ARE=15.425%
Iter  81000: L=7.019e-03  L_data=5.217e-03  L_bcs=4.480e-04  L_res=1.545e-02  val_ARE=15.870%
Iter  84000: L=7.079e-03  L_data=3.387e-03  L_bcs=2.756e-03  L_res=1.468e-02  val_ARE=15.682%
Iter  87000: L=6.689e-03  L_data=3.969e-03  L_bcs=2.989e-04  L_res=1.478e-02  val_ARE=15.685%
Iter  90000: L=1.395e-02  L_data=2.195e-03  L_bcs=2.665e-02  L_res=2.061e-02  val_ARE=16.319%
Iter  93000: L=6.253e-03  L_data=3.964e-03  L_bcs=1.098e-03  L_res=1.349e-02  val_ARE=16.427%
Iter  96000: L=6.940e-03  L_data=6.000e-03  L_bcs=1.012e-03  L_res=1.506e-02  val_ARE=16.447%
Iter  99000: L=6.073e-03  L_data=1.588e-03  L_bcs=6.987e-04  L_res=1.325e-02  val_ARE=16.140%
Iter 102000: L=6.593e-03  L_data=3.226e-03  L_bcs=4.117e-03  L_res=1.307e-02  val_ARE=16.378%
Iter 105000: L=5.990e-03  L_data=7.235e-04  L_bcs=3.634e-04  L_res=1.320e-02  val_ARE=16.350%
Iter 108000: L=6.040e-03  L_data=6.259e-03  L_bcs=9.074e-04  L_res=1.309e-02  val_ARE=16.749%
Iter 111000: L=5.579e-03  L_data=1.126e-03  L_bcs=3.415e-04  L_res=1.229e-02  val_ARE=16.806%
Iter 114000: L=5.276e-03  L_data=1.403e-03  L_bcs=6.936e-04  L_res=1.148e-02  val_ARE=16.663%
Iter 117000: L=5.451e-03  L_data=1.533e-03  L_bcs=3.663e-04  L_res=1.199e-02  val_ARE=16.997%
